Cases,Date,State,County, ,Reference
NO.47510-47511,2020/3/23,TX,Guadalupe,Guadalupe County announced two more positive cases of coronavirus in the county. bringing the total of confirmed cases to four as of Monday afternoon. The two newest cases are residents in an unincorporated area of the Guadalupe County. a news release said. The patients are at home and are self-quarantined since receiving the positive test. the release said.,seguingazette.com 
NO.47512-47514,2020/3/23,NY,Oneida,Oneida County. NY reported 10 total cases by 3/23 night.,www.wktv.com 
NO.47515,2020/3/23,TX,Terry,Terry County 1st case,www.kcbd.com 
NO.47516,2020/3/23,WI,Iowa,Health officials have confirmed the first case of the coronavirus in Iowa County. according to a news release from Monday.The Iowa County Health Department said the person is a 26-year-old woman who recently went to Dane County.,www.channel3000.com 
NO.47517-47564,2020/3/23,FL,Broward,3/24 Broward County total 311 cases. residents 298. non-residents 13.,fdoh.maps.arcgis.com 
NO.47565-47566,2020/3/23,FL,Collier,3/24 Collier County reported 2 more cases. and there are in total 41 cases in the county.,fdoh.maps.arcgis.com 
NO.47567-47568,2020/3/23,IN,Hancock,By 3/24. Hancock County. IN. reported 4 cases in total.,www.in.gov 
NO.47569,2020/3/23,TX,Llano,The Llano County Office of Emergency Management issued a news release March 24 confirming a male patient in his 60s had tested positive for COVID-19. the disease caused by the novel coronavirus.,www.dailytrib.com 
NO.47570-47571,2020/3/23,MN,Steele,MN State Steele County has in total 5 cases of CODIV-19 confirmed by 3/24. with 2 new cases added.,www.health.state.mn.us 
NO.47572,2020/3/23,CA,Kern,Kern County Public Health Services Department has confirmed that an thirteenth Kern County resident has tested positive for coronavirus disease 2019 (COVID-19) and lives in Bakersfield West.,kernpublichealth.com 
NO.47573,2020/3/23,LA,Unassigned,3/23 LA total 1172. Parish Under Investigation 3 cases.,ldh.la.gov 
NO.47574-47575,2020/3/23,ID,Canyon,CASES NO. 76-77  CANYON COUNTY Southwest District Health announced two new cases March 23. The press release included details on two cases that were included in the March 22 numbers. The four combined cases involved a man in his 20s. a man in his 50s. a woman in her 40s and a woman in her 70s. The woman in her 40s was hospitalized. the others were at home.,www.idahostatesman.com 
NO.47576-47581,2020/3/23,ID,Ada,CASES NO. 69-75  ADA COUNTY Central District Health reported seven new cases in Ada County on March 23. No details were provided.,www.idahostatesman.com 
NO.47582,2020/3/23,ID,Blaine,CASE NO. 68  BLAINE COUNTY South Central Public Health updated its Blaine County number March 23 to reflect another new case. for a total of 36. No details were provided.,www.idahostatesman.com 
NO.47583,2020/3/24,NY,Monroe,A third person has died in Monroe County from COVID-19. officials announced Tuesday. [Death],www.rochesterfirst.com 
NO.47584,2020/3/24,CO,El Paso,A fourth individual has died from the novel coronavirus. This patient was a man in his 80s. [Death],krdo.com 
NO.47585,2020/3/24,MI,Wayne,The Detroit Police Department has announced a coronavirus-related death. Details were not immediately available on the staffer s role. age or tenure with the department. [Death],www.clickondetroit.com 
NO.47586,2020/3/24,AZ,Unassigned,AZ adds two more deaths. total death cases 5. [Death],www.azdhs.gov 
NO.47587,2020/3/24,OK,Cleveland,The third death was reported in Cleveland County. officials said. The patient was a woman in her 60s. [Death],www.koco.com 
NO.47588,2020/3/24,AR,Cleburne,An Arkansas man died of coronavirus Tuesday morning. the first person in the state to do so. The 91-year-old passed away at 8 a.m. at Conway Regional Medical Center. according to deputy coroner Robert Edwards. [Death],www.4029tv.com 
NO.47589,2020/3/24,IN,Johnson,By 3/24. Johnson County. IN. reported 3 death in total. [Death],www.in.gov 
NO.47590,2020/3/24,MD,Prince George s,PRINCE GEORGE S COUNTY. MD -- WBFF -- Officials say that a fourth person has died from the coronavirus in Maryland.The person was a Prince George s County man in his 60s with an underlying medical condition. [Death],foxbaltimore.com 
NO.47591,2020/3/24,IN,Marion,By 3/24. Marion County. IN. reported 6 death in total. [Death],www.in.gov 
NO.47592,2020/3/24,LA,Calcasieu,3/24 LA total death 46. Calcasieu Parish total death 1. [Death],ldh.la.gov 
NO.47593,2020/3/24,IN,Johnson,By 3/24. Johnson County. IN. reported 3 death in total. [Death],www.in.gov 
NO.47594,2020/3/24,LA,Jefferson,Jefferson 6th death.[Death],ldh.la.gov 
NO.47595,2020/3/24,LA,Iberville,3/24 LA total death 46. Iberville Parish death 1. [Death],ldh.la.gov 
NO.47596,2020/3/24,LA,Orleans,Orleans 24th death. [Death],ldh.la.gov 
NO.47597,2020/3/24,LA,Orleans,Orleans 25th death. [Death],ldh.la.gov 
NO.47598,2020/3/24,GA,Unassigned,3/24 12pm. Coronavirus deaths in Georgia reached 32. Placeholder for further information. [Death],dph.georgia.gov 
NO.47599,2020/3/24,LA,Orleans,Orleans 26th death. [Death],ldh.la.gov 
NO.47600,2020/3/24,GA,Unassigned,3/24 12pm. Coronavirus deaths in Georgia reached 32. Placeholder for further information. [Death],dph.georgia.gov 
NO.47601,2020/3/24,TX,Dallas,As of March 24. 2020 (updated at 10 00 AM). Dallas County Health and Human Services is reporting an additional death from COVID-19 is being reported of a woman in her 70 s. with high-risk chronic health conditions. [Death],www.dallascounty.org 
NO.47602,2020/3/24,LA,Orleans,Orleans 21st death.[Death],ldh.la.gov 
NO.47603,2020/3/24,LA,Orleans,Orleans 22nd death. [Death],ldh.la.gov 
NO.47604,2020/3/24,LA,Orleans,Orleans 23rd death. [Death],ldh.la.gov 
NO.47605,2020/3/24,GA,Unassigned,3/24 12pm. Coronavirus deaths in Georgia reached 32. Placeholder for further information. [Death],dph.georgia.gov 
NO.47606,2020/3/24,VT,Unassigned,Death total rises to 7 in Vermont. Placeholder.[Death],www.healthvermont.gov 
NO.47607,2020/3/24,OH,Gallia,First death reported in Gallia County. [Death],coronavirus.ohio.gov 
NO.47608,2020/3/24,CA,Santa Clara,Three new deaths are reported in Santa Clara. placeholder. [Death],www.sccgov.org 
NO.47609,2020/3/24,NJ,Unassigned,NJ State County has in total 44 death cases by 3/24. with 17 new cases added. [We will update the details later]. [Death],www.nj.gov 
NO.47610,2020/3/24,CA,Santa Clara,Three new deaths are reported in Santa Clara. placeholder. [Death],www.sccgov.org 
NO.47611,2020/3/24,HI,Unassigned,By 3/24. the first death case was confirmed by Hi. the details was not released. [Death],www.khon2.com 
NO.47612,2020/3/24,LA,Unassigned,3/24 LA total death 46. 1 death Parish Under Investigation. [Death],ldh.la.gov 
NO.47613,2020/3/24,ME,Waldo,Waldo 1 st case,www.maine.gov 
NO.47614-47666,2020/3/24,NY,Unassigned,By 3/23 10 13PM EST. New York reported 23230 total cases in the state.,www.nbcnewyork.com 
NO.47667-47674,2020/3/24,PR,Puerto Rico,Positive cases of the disease increased from 31 to 39. the Department of Health on 3/24 morning.,www.elnuevodia.com 
NO.47675,2020/3/24,OR,Linn,3/24 OR Linn County reported one more case.,www.oregonlive.com 
NO.47676,2020/3/24,OR,Clatsop,Clatsop. OR reported one case on 3/24 morning.,www.oregonlive.com 
NO.47677-47678,2020/3/24,NY,Broome,Broome County. NY reported 9 total cases by 3/24 morning. [Note]It is reported by Broome County. not including in NY total right now.,www.gobroomecounty.com 
NO.47679-47682,2020/3/24,MD,Anne Arundel,There are 349 total cases in the state and 24 of them are in Anne Arundel County. MD.,coronavirus.maryland.gov 
NO.47683-47689,2020/3/24,MD,Baltimore,There are 349 total cases in the state and 42 of them are in Baltimore County. MD by 3/24.,coronavirus.maryland.gov 
NO.47690-47699,2020/3/24,MD,Baltimore City,There are 349 total cases in the state and 41 of them are in Baltimore City. MD by 3/24.,coronavirus.maryland.gov 
NO.47700-47701,2020/3/24,MD,Calvert,There are 349 total cases in the state and 3 of them is in Calvert.,coronavirus.maryland.gov 
NO.47702-47703,2020/3/24,MD,Cecil,Cecil County reports 3 total cases in the county by 3/24.,coronavirus.maryland.gov 
NO.47704-47707,2020/3/24,MD,Howard,There are 349 total cases in the state and 30 of them are in Howard. MD by 3/24.,coronavirus.maryland.gov 
NO.47708-47720,2020/3/24,MD,Montgomery,There are 349total cases in the state and 107of them are in Montgomery County. MD by 3/24.,coronavirus.maryland.gov 
NO.47721-47736,2020/3/24,MD,Prince George s,There are 349 total cases in the state and 63 of them are in Prince George s . MD by 3/24.,coronavirus.maryland.gov 
NO.47737,2020/3/24,MD,St. Mary s,St. Mary s. MD reported 2 cases by 3/24.,coronavirus.maryland.gov 
NO.47738-47742,2020/3/24,NC,Guilford,NC State Guilford County has in total 16 cases of CODIV-19 confirmed by 3/24 with 5 new cases added.,www.greensboro.com 
NO.47743-47756,2020/3/24,NY,Monroe,Mar 24. 2020 / 10 48 AM EDT There are now 95 confirmed cases of COVID-19 in Monroe County. according to officials with the Department of Public Health. That number is up by 14 from last official count Monday.,www.rochesterfirst.com 
NO.47757-47771,2020/3/24,NV,Unassigned,NV reported 278 total cases by 3/24 morning. placeholder.,app.powerbigov.us 
NO.47772,2020/3/24,NY,Chemung,March 24th 2020. 10 53 AM EDT Chemung County now has three confirmed cases of COVID-19. The new case was confirmed on the County Health Department s website. which was updated Tuesday morning. [Note]It is reported by Chemung County Health Department. not including in NY total right now.,www.weny.com 
NO.47773,2020/3/24,FL,Alachua,3/24 Alachua County total 37 cases. residents 34. non-residents 3.,fdoh.maps.arcgis.com 
NO.47774,2020/3/24,FL,Baker,3/24 Baker County total 4 cases. residents 4. non-residents 0.,fdoh.maps.arcgis.com 
NO.47775-47776,2020/3/24,FL,Brevard,3/24 Brevard County total 9 cases. residents 9. non-residents 0.,fdoh.maps.arcgis.com 
NO.47777-47815,2020/3/24,WI,Milwaukee,3/24 Milwaukee County. WI reported 243 total cases.<Note.the total number on website has 9 more cases than WI.gov is because of Dane county reported 9 more cases than WI.gov.>,www.tmj4.com 
NO.47816,2020/3/24,FL,Columbia,3/24 Columbia County total 3 cases. residents 3. non-residents 0.,fdoh.maps.arcgis.com 
NO.47817,2020/3/24,FL,Escambia,3/24 Escambia County total 10 cases. residents 10. non-residents 0.,fdoh.maps.arcgis.com 
NO.47818,2020/3/24,FL,Flagler,3/24 Flagler County total 4 cases. residents 4. non-residents 0.,fdoh.maps.arcgis.com 
NO.47819-47820,2020/3/24,FL,Highlands,3/24 Highlands County total 4 cases. residents 4. non-residents 0.,fdoh.maps.arcgis.com 
NO.47821-47836,2020/3/24,FL,Hillsborough,3/24 Hillsborough County total 91 cases. residents 85. non-residents 6.,fdoh.maps.arcgis.com 
NO.47837,2020/3/24,FL,Indian River,3/24 Indian River County total 11 cases. residents 10. non-residents 1.,fdoh.maps.arcgis.com 
NO.47838-47842,2020/3/24,FL,Lake,3/24 Lake County total 14 cases. residents 14. non-residents 0.,fdoh.maps.arcgis.com 
NO.47843-47844,2020/3/24,FL,Lee,3/24 Lee River County total 32 cases. residents 31. non-residents 1.,fdoh.maps.arcgis.com 
NO.47845-47846,2020/3/24,FL,Leon,3/24 Leon River County total 8 cases. residents 5. Resident not in FL 1.non-residents 2.,fdoh.maps.arcgis.com 
NO.47847,2020/3/24,FL,Manatee,3/24 Manatee County total 16 cases. residents 16. non-residents 0.,fdoh.maps.arcgis.com 
NO.47848,2020/3/24,NY,Chautauqua,The first two cases of the coronavirus have been confirmed in Chautauqua County.a male Silver Creek resident also in his 30s. [Note]It is reported by County Executive PJ Wendel. not including in NY total right now.,www.observertoday.com 
NO.47849-47908,2020/3/24,FL,Miami-Dade,3/24 Miami-Dade County total 338 cases. residents 325. Resident not in FL 1. non-residents 12.,fdoh.maps.arcgis.com 
NO.47909,2020/3/24,NY,Chautauqua,The first two cases of the coronavirus have been confirmed in Chautauqua County.a female Dunkirk resident in her 30s. [Note]It is reported by County Executive PJ Wendel. not including in NY total right now.,www.observertoday.com 
NO.47910,2020/3/24,FL,Monroe,3/24 Monroe County total 3 cases. residents 3. non-residents 0.,fdoh.maps.arcgis.com 
NO.47911-47912,2020/3/24,FL,Orange,3/24 Orange County total 50 cases. residents 44. Residents Not in Florida 1. non-residents 5.,fdoh.maps.arcgis.com 
NO.47913,2020/3/24,FL,Osceola,3/24 Osceola County reported 1 more cases. and there are in total 26 cases in the county.,fdoh.maps.arcgis.com 
NO.47914-47925,2020/3/24,FL,Palm Beach,3/24 Palm Beach County total 101 cases. residents 93. Residents Not in Florida 1. non-residents 7.,fdoh.maps.arcgis.com 
NO.47926,2020/3/24,FL,Pasco,3/24 Pasco County reported 1 more cases. and there are in total 15 cases in the county.,fdoh.maps.arcgis.com 
NO.47927-47930,2020/3/24,FL,Pinellas,3/24 Pinellas County total 45 cases. residents 41. non-residents 4.,fdoh.maps.arcgis.com 
NO.47931-47935,2020/3/24,FL,Sarasota,3/24 Sarasota County total 26 cases. residents 21. non-residents 5.,fdoh.maps.arcgis.com 
NO.47936,2020/3/24,FL,Seminole,3/24 Seminole County total 23 cases. residents 22. non-residents 1.,fdoh.maps.arcgis.com 
NO.47937-47940,2020/3/24,FL,St. Johns,3/23 St. Johns County total 22 cases. residents 20. non-residents 2.,fdoh.maps.arcgis.com 
NO.47941,2020/3/24,FL,St. Lucie,3/24 St. Lucie County total 6 cases. residents 6. non-residents 0.,fdoh.maps.arcgis.com 
NO.47942-47943,2020/3/24,FL,Sumter,3/24 St. Johns County total 10 cases. residents 10. non-residents 0.,fdoh.maps.arcgis.com 
NO.47944-47945,2020/3/24,FL,Volusia,3/24 Volusia County total 18 cases. residents 18. non-residents 0.,fdoh.maps.arcgis.com 
NO.47946,2020/3/24,FL,Walton,3/24 Walton County total 10 cases. residents 7. non-residents 3.,fdoh.maps.arcgis.com 
NO.47947-47948,2020/3/24,FL,Clay,3/24 Clay County total 10 cases. residents 7. non-residents 3.,fdoh.maps.arcgis.com 
NO.47949-49733,2020/3/24,NY,New York,There are 14904 total cases in NYC. while there are 25665 cases in the state by 3/24.,twitter.com 
NO.49734,2020/3/24,AL,Chambers,Chambers County  1 new case.,www.alabamapublichealth.gov 
NO.49735-49736,2020/3/24,AL,Elmore,2 new cases in Elmore County. AL.,www.alabamapublichealth.gov 
NO.49737-50733,2020/3/24,NY,Westchester,Westchester County. NY reported 3891 total cases while NY reported 25665 by 3/24 noon.,twitter.com 
NO.50734-50737,2020/3/24,AL,Jefferson,3/24 AL total 215. Jefferson 90 cases.,www.alabamapublichealth.gov 
NO.50738-50739,2020/3/24,AL,Lee,3/24 AL total 215. Lee 21 cases.,www.alabamapublichealth.gov 
NO.50740-50749,2020/3/24,PA,Allegheny,in addition to the second coronavirus-related death in Allegheny County. 10 additional active cases were confirmed by the Allegheny County Health Department. In all. there are 58 active cases of COVID-19 in Allegheny County. Six people are hospitalized. The woman who died had not been hospitalized.,triblive.com 
NO.50750-51176,2020/3/24,NY,Nassau,Nassau reported 2869 total cases by 3/24 noon.,twitter.com 
NO.51177-51598,2020/3/24,NY,Suffolk,New York Suffolk reported 1880 total cases by 3/24 noon.,twitter.com 
NO.51599-51677,2020/3/24,NY,Rockland,Rockland County reported 671total cases in this area by 3/24.,twitter.com 
NO.51678-51786,2020/3/24,NY,Orange,Orange County. NY reported 498 total cases by 3/24 noon.,twitter.com 
NO.51787-51805,2020/3/24,NY,Albany,Albany County. NY reported 146total cases by 3/24 afternoon.,twitter.com 
NO.51806-51829,2020/3/24,NY,Dutchess,Dutchess County. NY reported 124 total cases by 3/24 morning.,twitter.com 
NO.51830,2020/3/24,AL,Mobile,3/24 AL total 215. Mobile 3 cases.,www.alabamapublichealth.gov 
NO.51831-51834,2020/3/24,AL,Montgomery,3/24 AL total 215. Montgomery 8 cases.,www.alabamapublichealth.gov 
NO.51835-51840,2020/3/24,NY,Erie,There are 107 total cases in Erie County by 3/24 noon..,twitter.com 
NO.51841,2020/3/24,AR,Cleburne,Cleburne County confirmed 1 more case on 3/24. 28 cases in total.,
NO.51842-51843,2020/3/24,AL,Shelby,3/24 AL total 215. Shelby 24 cases.,www.alabamapublichealth.gov 
NO.51844,2020/3/24,AL,St. Clair,3/24 AL total 215. St. Clair 4 cases.,www.alabamapublichealth.gov 
NO.51845,2020/3/24,NY,Monroe,Mar 24. 2020 noon There are now 96 confirmed cases of COVID-19 in Monroe County.,twitter.com 
NO.51846,2020/3/24,AL,Limestone,3/24 AL total 215. Limestone 2 cases.,www.alabamapublichealth.gov 
NO.51847,2020/3/24,AL,Morgan,3/24 AL total 215. Morgan 1st cases.,www.alabamapublichealth.gov 
NO.51848-51936,2020/3/24,TN,Davidson,On Tuesday. Metro Nashville health officials said the number of reported cases in Nashville had reached 253. up from 184 on Monday.,www.tn.gov 
NO.51937-51938,2020/3/24,AR,Pulaski,Pulaski County confirmed 2 more cases on 3/24. 63 cases in total.,
NO.51939-51941,2020/3/24,AR,Faulkner,Faulkner County confirmed 3 more cases on 3/24. 13 cases in total.,
NO.51942,2020/3/24,ND,Dunn,Dunn County first case.,www.health.nd.gov 
NO.51943,2020/3/24,ND,Walsh,Walsh County first case.,www.health.nd.gov 
NO.51944-51947,2020/3/24,AR,Unassigned,By 3/24. Arkansas has in total 218 cases.,
NO.51948,2020/3/24,NC,Duplin,A Duplin County resident has tested positive for COVID-19 and this is Duplin County s first case since COVID-19 was reported in the state of North Carolina.,www.wnct.com 
NO.51949,2020/3/24,AR,Cross,Cross County confirmed at lease 1 case.,
NO.51950-51970,2020/3/24,NC,Mecklenburg,As of 11 a.m. Tuesday. 127 positive cases of COVID-19 have been reported in Mecklenburg County.,www.fox46charlotte.com 
NO.51971-51972,2020/3/24,NC,Forsyth,Forsyth County has 14 positive coronavirus cases,www.wxii12.com 
NO.51973,2020/3/24,NC,Iredell,Iredell County now has nine reported cases of coronavirus. state officials reported.,www.statesville.com 
NO.51974,2020/3/24,NC,Watauga,A third Watauga County resident has tested positive for COVID-19 (novel coronavirus). This case had travel history. has been in isolation since being tested. and is improving. The local public health staff have identified the close contacts. who have been in quarantine for several days.,www.goblueridge.net 
NO.51975,2020/3/24,NC,Craven,The third case of the Novel Coronavirus (COVID-19) has been confirmed in a Craven County resident who was tested on Tuesday. March 17. The individual who tested positive for COVID-19 is an adult who traveled out of state and they were tested by a private physician for COVID-19.,www.wnct.com 
NO.51976,2020/3/24,NC,Bertie,Albemarle Regional Health Services Health Director R. Battle Betts. Jr.. MPA. has received notification of a lab-confirmed case of COVID-19 in Bertie County.,wcti12.com 
NO.51977,2020/3/24,NC,Rowan,Just a week after reporting its first positive COVID-19 case. Rowan County now has its 5th case. according to the North Carolina Department of Health and Human Services.,www.salisburypost.com 
NO.51978-51985,2020/3/24,ME,Cumberland,Cumberland 8 new cases.,www.maine.gov 
NO.51986,2020/3/24,ME,Kennebec,Kennebec 1 new cases.,www.maine.gov 
NO.51987,2020/3/24,ME,Oxford,Oxford 1 new cases.,www.maine.gov 
NO.51988,2020/3/24,ME,Penobscot,Penobscot 1 new cases.,www.maine.gov 
NO.51989-52007,2020/3/24,CA,San Mateo,By 3/24 8 54 PST. San Mateo confirmed 161 cases from its Official Site.,www.smchealth.org 
NO.52008-52028,2020/3/24,CA,San Francisco,CA San Francisco 21 new cases on 3/24. total 152 cases.,www.sfdph.org 
NO.52029-52030,2020/3/24,MS,Attala,Attala 2 new cases.,msdh.ms.gov 
NO.52031-52033,2020/3/24,MS,Chickasaw,Chickasaw 3 new cases.,msdh.ms.gov 
NO.52034,2020/3/24,MS,Choctaw,Choctaw 1st new case.,msdh.ms.gov 
NO.52035-52037,2020/3/24,MS,Coahoma,Coahoma 3 new cases.,msdh.ms.gov 
NO.52038,2020/3/24,MS,Copiah,Copiah 1 new case.,msdh.ms.gov 
NO.52039-52044,2020/3/24,MS,DeSoto,De Soto 6 new cases.,msdh.ms.gov 
NO.52045-52047,2020/3/24,MS,Forrest,Forrest 3 new cases.,msdh.ms.gov 
NO.52048-52049,2020/3/24,PA,Philadelphia,,www.health.pa.gov 
NO.52050,2020/3/24,MS,Hancock,Hancock 1 new case.,msdh.ms.gov 
NO.52051-52053,2020/3/24,MS,Harrison,Harrison 3 new cases.,msdh.ms.gov 
NO.52054-52060,2020/3/24,MS,Hinds,Hinds 7 new cases.,msdh.ms.gov 
NO.52061-52063,2020/3/24,MS,Jackson,Jackson 3 new cases.,msdh.ms.gov 
NO.52064-52066,2020/3/24,MS,Lafayette,Lafayette 3 new cases.,msdh.ms.gov 
NO.52067-52074,2020/3/24,PA,Montgomery,3/24 Montgomery County report total 144 cases.,data-montcopa.opendata.arcgis.com 
NO.52075,2020/3/24,MS,Lamar,Lamar 1 new case.,msdh.ms.gov 
NO.52076-52079,2020/3/24,MS,Lee,Lee 4 new cases.,msdh.ms.gov 
NO.52080-52139,2020/3/24,AZ,Maricopa,AZ Maricopa 60 new cases. total 199 cases.,www.azdhs.gov 
NO.52140-52169,2020/3/24,PA,Delaware,3/24 PA total 851. Delaware County 84 cases.,www.health.pa.gov 
NO.52170,2020/3/24,MS,Leflore,Leflore 1 new case.,msdh.ms.gov 
NO.52171-52173,2020/3/24,MS,Madison,Madison 3 new cases.,msdh.ms.gov 
NO.52174,2020/3/24,MS,Monroe,Monroe 1 new case.,msdh.ms.gov 
NO.52175-52181,2020/3/24,AZ,Navajo,AZ Navajo 7 new cases. total 32 cases.,www.azdhs.gov 
NO.52182,2020/3/24,MS,Montgomery,Montgomery 1 new case.,msdh.ms.gov 
NO.52183,2020/3/24,MS,Newton,Newton 1st case.,msdh.ms.gov 
NO.52184,2020/3/24,MS,Noxubee,Noxubee 1st case.,msdh.ms.gov 
NO.52185-52189,2020/3/24,AZ,Pinal,AZ Pinal 5 new cases. total 22 cases.,www.azdhs.gov 
NO.52190,2020/3/24,MS,Pearl River,Pearl River 1 new case.,msdh.ms.gov 
NO.52191-52192,2020/3/24,GA,Baker,As of 3/24 12pm. 2 new cases confirmed in Baker County.,dph.georgia.gov 
NO.52193-52195,2020/3/24,MS,Pike,Pike 3 new cases.,msdh.ms.gov 
NO.52196-52217,2020/3/24,PA,Bucks,3/24 PA total 851. Bucks County 65 cases.,www.health.pa.gov 
NO.52218,2020/3/24,TX,Victoria,3/24. 1 new case was confirmed in Victoria County. one women in her 20s.,www.victoriaadvocate.com 
NO.52219,2020/3/24,MS,Pontotoc,Pontotoc 1 new case.,msdh.ms.gov 
NO.52220-52237,2020/3/24,AZ,Pima,AZ Pima 18 new cases. total 42 cases.,www.azdhs.gov 
NO.52238-52242,2020/3/24,MS,Rankin,Rankin 5 new cases.,msdh.ms.gov 
NO.52243,2020/3/24,MS,Scott,Scott 1 new case.,msdh.ms.gov 
NO.52244-52257,2020/3/24,GA,Bartow,As of 3/24 12pm. GA State Bartow County has in total 75 cases confirmed. with 14 new cases added.,dph.georgia.gov 
NO.52258-52259,2020/3/24,PA,Monroe,3/24 PA total 851. Monroe County 45 cases.,www.health.pa.gov 
NO.52260,2020/3/24,MS,Sunflower,Sunflower 1 new case.,msdh.ms.gov 
NO.52261,2020/3/24,MS,Tallahatchie,Tallahatchie 1 new case.,msdh.ms.gov 
NO.52262,2020/3/24,AZ,Coconino,AZ Coconino 1 new cases. total 18 cases.,www.azdhs.gov 
NO.52263-52264,2020/3/24,MS,Tippah,Tippah 2 new cases.,msdh.ms.gov 
NO.52265-52274,2020/3/24,PA,Northampton,3/24 PA total 851. Northampton County 33 cases.,www.health.pa.gov 
NO.52275,2020/3/24,MS,Tunica,Tunica 1 new case.,msdh.ms.gov 
NO.52276,2020/3/24,GA,Ben Hill,GA State Ben Hill County confirmed its 1st case on 3/24.,dph.georgia.gov 
NO.52277,2020/3/24,MS,Washington,Washington 1 new case.,msdh.ms.gov 
NO.52278,2020/3/24,MS,Webster,Webster 1 new case.,msdh.ms.gov 
NO.52279,2020/3/24,MS,Wilkinson,Wilkinson 1 new case.,msdh.ms.gov 
NO.52280,2020/3/24,TX,Victoria,3/24. 1 new case was confirmed in Victoria County. one women in her 20s.,www.victoriaadvocate.com 
NO.52281,2020/3/24,TX,Victoria,3/24. 1 new case was confirmed in Victoria County. one man in his 30s.,www.victoriaadvocate.com 
NO.52282-52283,2020/3/24,PA,Lehigh,3/23 PA total 644. Lehigh County 25 cases.,www.health.pa.gov 
NO.52284-52285,2020/3/24,MS,Yazoo,Yazoo 2 new cases.,msdh.ms.gov 
NO.52286-52287,2020/3/24,GA,Bibb,As of 3/24 12pm. GA State Bibb County confirmed 2 new cases. 4 cases in total.,dph.georgia.gov 
NO.52288-52298,2020/3/24,PA,Luzerne,3/24 PA total 851.Luzerne County 21 cases.,www.health.pa.gov 
NO.52299,2020/3/24,MS,Leake,Leake 1 new case.,msdh.ms.gov 
NO.52300-52301,2020/3/24,GA,Bryan,GA State Bryan County confirmed first 2 cases on 3/24.,dph.georgia.gov 
NO.52302-52304,2020/3/24,IN,Allen,By 3/24. Allen County. IN. reported 7 cases in total.,www.in.gov 
NO.52305-52318,2020/3/24,TX,Tarrant,3/24 Tarrant County added 14 cases. total 71.,www.tarrantcounty.com 
NO.52319-52323,2020/3/24,GA,Carroll,As of 3/24 12pm. Carroll County confirmed 5 new cases. 26 cases in total.,dph.georgia.gov 
NO.52324,2020/3/24,IN,Clark,By 3/24. Clark County. IN. reported 5 cases in total.,www.in.gov 
NO.52325-52327,2020/3/24,GA,Chatham,3 new cases in Chatham. GA.,dph.georgia.gov 
NO.52328,2020/3/24,NC,Randolph,By 3/24. A third Randolph County resident has tested positive for the novel coronavirus. county public health officials. The person who tested positive had a recent history of traveling outside of North Carolina.,www.wxii12.com 
NO.52329,2020/3/24,TX,Hunt,Hunt County has reported its first confirmed case of a patient with the COVID-19 virus. Hunt County Civil Attorney Daniel Ray issued the following statement Tuesday morning  As of the morning of March 24. 2020. one patient has tested positive for COVID-19 in Hunt County. The patient is a 50-64 year old female from the southwest corner of the County. The County Health Authority is investigating the case. including the patient s close contacts and immediate relatives with whom the patient has had contact. No additional details were immediately released.,www.heraldbanner.com 
NO.52330-52333,2020/3/24,GA,Cherokee,As of 3/24 12pm. Cherokee County has in total 28 cases confirmed. with 4 new cases added.,dph.georgia.gov 
NO.52334,2020/3/24,IN,Delaware,By 3/24. Delaware County. IN. reported 4 cases in total.,www.in.gov 
NO.52335-52338,2020/3/24,PA,Centre,3/24 PA total 851. ​Centre County 7 cases.,www.health.pa.gov 
NO.52339-52340,2020/3/24,GA,Clarke,As of 3/24 12pm. Clarke County has in total 16 cases confirmed. with 2 new cases added.,dph.georgia.gov 
NO.52341,2020/3/24,TX,Hopkins,On March 24 at 11 a.m.. Hopkins County emergency management confirmed that the first case of the COVID-19 virus. also known as coronavirus. has been verified in Hopkins County. The patient received treatment. according to CHRISTUS Mother Francis CEO Paul Harvey. and is now being told to self-isolate in his home. Harvey said.,www.ssnewstelegram.com 
NO.52342,2020/3/24,IN,Fayette,By 3/24. Fayette County. IN. reported 2 cases in total.,www.in.gov 
NO.52343,2020/3/24,PA,Butler,Butler County has one more case.,www.health.pa.gov 
NO.52344-52345,2020/3/24,GA,Clayton,As of 3/24 12pm. Clayton County has in total 21 cases confirmed. with 2 new cases added.,dph.georgia.gov 
NO.52346-52348,2020/3/24,IN,Floyd,By 3/24. Floyd County. IN. reported 6 cases in total.,www.in.gov 
NO.52349-52350,2020/3/24,PA,Schuylkill,3/24 PA total 851. Schuylkill County 5 cases.,www.health.pa.gov 
NO.52351-52353,2020/3/24,IN,Franklin,By 3/24. Franklin County. IN. reported 7 cases in total.,www.in.gov 
NO.52354-52360,2020/3/24,GA,Cobb,As of 3/24 12pm. Cobb County has in total 86 cases confirmed. with 7 new cases added.,dph.georgia.gov 
NO.52361-52362,2020/3/24,PA,Franklin,Franklin County. PA has 3 confirmed COVID-19 case.,www.publicopiniononline.com 
NO.52363,2020/3/24,IA,Black Hawk,Black Hawk new case. 1 middle-aged adult (41-60 years),whotv.com 
NO.52364,2020/3/24,IN,Grant,By 3/24. Grant County. IN. reported 3 cases in total.,www.in.gov 
NO.52365-52366,2020/3/24,PA,Montour,3 case confirmed in Montour County.,www.health.pa.gov 
NO.52367,2020/3/24,GA,Coffee,1 new case confirmed in Coffee County.,dph.georgia.gov 
